attribute_code;default;fr;it;es;en
ocp_fixing_system ;Isofix;Isofix;Isofix;Isofix;Isofix
ocp_fixing_system ;Base ceinture;Base ceinture;Base con cintura di sicurezza;Base con cinturón;Belt basis
ocp_fixing_system ;Base isofix;Base isofix;Base isofix;Base isofix;Isofix basis
ocp_fixing_system ;Base ceinture;Base ceinture;Base con cintura di sicurezza;Base con cinturón;Belt basis
ocp_cup;A;A;A;A;A
ocp_cup;B;B;B;B;B
ocp_cup;C;C;C;C;C
ocp_cup;D;D;D;D;D
ocp_cup;E;E;E;E;E
ocp_cup;F;F;F;F;F
ocp_cup;G;G;G;G;G
ocp_detection;Oui;Oui;Sí;Sí;Yes
ocp_detection;Non;Non;No;No;No
ocp_capacity;120 ml;120 ml;120 ml;120 ml;120 ml
ocp_capacity;240 ml;240 ml;240 ml;240 ml;240 ml
ocp_capacity;340 ml;340 ml;340 ml;340 ml;340 ml
ocp_capacity;125 ml;125 ml;125 ml;125 ml;125 ml
ocp_capacity;250 ml;250 ml;250 ml;250 ml;250 ml
ocp_capacity;340 ml;340 ml;340 ml;340 ml;340 ml
color;Noir;Noir;Nero;Negro;Black
color;Rouge;Rouge;Rosso;Rojo;Red
color;Marron;Marron;Marrone;Marrón;Brown
color;Violet;Violet;Viola;Violeta;Purple
color;Vert;Vert;Verde;Verde;Green
color;Rose;Rose;Rosa;Rosa;Pink
color;Blanc;Blanc;Bianco;Blanco;White
color;Gris;Gris;Grigio;Gris;Grey
color;Jaune;Jaune;Giallo;Amarillo;Yellow
color;Bleu;Bleu;Azzurro;Azul;Blue
color;Magento;Magento;Fucsia;Fucsia;Magento
color;Beige;Beige;Beige;Beige;Beige
color;Orange;Orange;Arancione;Naranja;Orange
color;Multicolore;Multicolore;Multicolore;Multicolor;Multicolored
ocp_flow;nouveau-né - 1 trou;nouveau-né - 1 trou;neonato - 1 foro;recién nacido -1 agujero;Newborn baby - 1 hole
ocp_flow;1 mois - 2 trous;1 mois - 2 trous;1 mese - 2 fori;1 mes – 2 agujeros;1 month - 2 holes
ocp_flow;3 mois - 3 trous;3 mois - 3 trous;3 mesi - 3 fori;3 meses – 3 agujeros;3 month - 3 holes
ocp_flow;6 mois - 4 trous;6 mois - 4 trous;6 mesi - 4 fori;6 meses – 4 agujeros;6 month - 4 holes
ocp_flow;3 mois - 1 fente - Débit variable;3 mois - 1 fente - Débit variable;3 mesi - 1 fessura - Flusso variabile;3 meses – 1 grieta – Flujo variable;3 month - 1 slot - Variable flow
ocp_flow;0 à 3mois;0 à 3mois;0-3 mesi;0 a 3 meses;0 to 3 month
ocp_flow;de 3 à 6 mois;de 3 à 6 mois;3-6 mesi;3 a 6 meses;3 to 6 month
ocp_flow;de 6 mois à +;de 6 mois à +;da 6 mesi+;A partir de 6 meses;6 month and more
ocp_flow;Lait;Lait;Latte;Leche;Milk
ocp_flow;Liquides épais;Liquides épais;Liquidi spessi;Líquidos espesos;Thick liquid
ocp_flow;Variable 1-2-3;Variable 1-2-3;Variabile 1-2-3;Variable 1-2-3;Variable 1-2-3
ocp_flow;T.0 Transition;T.0 Transition;Taglia 0 - Transizione;T.O Transición;T.0 Transition
ocp_flow;T.1 3 vitesses;T.1 3 vitesses;Taglia 1 - 3 velocità;T.1 3 velocidades;T.1 3 Speed
ocp_flow;T.2 3 vitesses;T.2 3 vitesses;Taglia 2 - 3 velocità;T.2 3 velocidades;T.2 3 Speed
ocp_flow;T.3 Bouillie;T.3 Bouillie;Taglia 3 - Pappa;T.3 Papilla;T3. Cereal
ocp_flow;Lent;Lent;Lento;Lento;Slow
ocp_flow;Variable;Variable;Variabile;Variable;Variable
ocp_flow;Moyen;Moyen;Medio;Medio;Average
ocp_flow;Rapide;Rapide;Rapido;Rápido;Fast
ocp_detection;Position;Position;Posizione;Posición ;Position
ocp_detection;Bruit;Bruit;Rumore;Ruido;Noise
ocp_environment;Intérieur;Intérieur;Interno;Interior;Indoor
ocp_environment;Extérieur;Extérieur;Esterno;Exterior;Outdoor
ocp_function;Sonore;Sonore;Sonoro;Con sonido;Sound
ocp_function;Lumineux;Lumineux;Luminoso;Luminoso;Light
ocp_function;Sons et lumières;Sons et lumières;Suoni e luci;Sonidos y luces;Light and sound
ocp_handlebars ;Poignées;Poignées;Due manici;Asas;Handles
ocp_handlebars ;Guidon;Guidon;Maniglione unico;Manillar;Handlebars
ocp_label;Bio;Bio;Bio;Bio;Bio
ocp_label;Parents;Parents;Genitori;Padres;Parents
ocp_label;Developpement Durable;Developpement Durable;Sviluppo sostenibile;Desarrollo sostenible;Sustainable development
ocp_label;Demeter;Demeter;Agricoltura biodinamica;Agricultura biodinámica;Demeter
ocp_position_number ;1;1;1;1;1
ocp_position_number ;2;2;2;2;2
ocp_position_number ;3;3;3;3;3
ocp_position_number ;4;4;4;4;4
ocp_position_number ;5;5;5;5;5
ocp_position_number ;6;6;6;6;6
ocp_position_number ;7;7;7;7;7
ocp_position_number ;8;8;8;8;8
ocp_position_number ;9;9;9;9;9
ocp_position_number ;10;10;10;10;10
ocp_energetics_performance;A;A;A;A;A
ocp_energetics_performance;B;B;B;B;B
ocp_energetics_performance;C;C;C;C;C
ocp_energetics_performance;D;D;D;D;D
ocp_energetics_performance;E;E;E;E;E
ocp_energetics_performance;F;F;F;F;F
ocp_road_position;Face route;Face route;Nel senso di marcia;De cara a la marcha;Front road
ocp_road_position;Dos route;Dos route;Opposta al senso di marcia;De espaldas a la marcha;Back road
ocp_siting_type ;Réversible;Réversible;Reversibile;Reversible;Reversible
ocp_siting_type ;Inclinable;Inclinable;Reclinabile;Reclinable;Tilting
ocp_toy_type ;A tirer;A tirer;Da trainare;De arrastrar;To pull
ocp_toy_type ;A pousser;A pousser;Da spingere;De empujar;To push
ocp_toy_type ;Construction;Construction;Costruzione;Construcción;Construction
ocp_toy_type ;Eveil;Eveil;Prime attività;Primeros juguetes;Awakening
ocp_toy_type ;Bain;Bain;Bagnetto;Baño;Bath
ocp_toy_type ;Extérieur;Extérieur;Da esterno;Exterior;Outdoor
ocp_toy_type ;Intérieur;Intérieur;Da interno;Interior;Indoor
ocp_sleeve_type;Manche courte;Manche courte;Maniche corte;Manga corta;Short sleeve
ocp_sleeve_type;Manche longue;Manche longue;Maniche lunghe;Manga larga;Long sleeve
ocp_sleeve_type;Sans manche;Sans manche;Smanicato;Sin mangas;Sleeveless
ocp_portage_type;Ventral;Ventral;Frontale;Frontal;Lap
ocp_portage_type;Dorsal;Dorsal;Posteriore;Dorsal;Dorsal
ocp_portage_type;Côté;Côté;Laterale;En la cadera;Side
ocp_use ;Ville;Ville;Città;Ciudad;City
ocp_use ;Tout terrain;Tout terrain;Tutti i tipi di terreno;Todo terreno;Ruggedize
ocp_use ;Jogging-running;Jogging-running;Jogging-running;Jogging-running;Jogging-running
ocp_size;Naissance;Naissance;;Nacimiento;Birth
ocp_size;1 mois;1 mois;;2 meses;1 month
ocp_size;3 mois;3 mois;;3 meses;3 months
ocp_size;Autres;Autres;;Otros;Other
ocp_size;12 ans;12 ans;;12 años;12 years
ocp_size;14 ans;14 ans;;14 años;14 years
ocp_size;12 mois;12 mois;;12 meses;12 months
ocp_size;18 mois;18 mois;;18 meses;18 months
ocp_size;23 mois;23 mois;;23 meses;23 months
ocp_size;2 ans;2 ans;;2 años;2 years
ocp_size;10 ans;10 ans;;10 años;10 years
ocp_size;Pointure 15;Pointure 15;;Talla 15;0.5 (US baby)
ocp_size;Pointure 16;Pointure 16;;Talla 16;1 (US baby)
ocp_size;Pointure 17;Pointure 17;;Talla 17;2 (US baby)
ocp_size;Pointure 20;Pointure 20;;Talla 20;4.5 (US baby)
ocp_size;Pointure 18;Pointure 18;;Talla 18;2.5 (US baby)
ocp_size;Pointure 19;Pointure 19;;Talla 19;3.5 (US baby)
ocp_size;Pointure 22;Pointure 22;;Talla 22;6 (US baby)
ocp_size;Pointure 23;Pointure 23;;Talla 13;6.5 (US baby)
ocp_size;Pointure 21;Pointure 21;;Talla 21;5 (US baby)
ocp_size;3 ans;3 ans;;3 años;3 years
ocp_size;4 ans;4 ans;;4 años;4 years
ocp_size;Pointure 24;Pointure 24;;Talla 24;7.5 (US baby)
ocp_size;Pointure 25;Pointure 25;;Talla 25;8 (US baby)
ocp_size;Pointure 26;Pointure 26;;Talla 26;9.5 (US baby)
ocp_size;Pointure 27;Pointure 27;;Talla 27;10.5 (US baby)
ocp_size;Pointure 28;Pointure 28;;Talla 28;11 (US baby)
ocp_size;Pointure 29;Pointure 29;;Talla 29;12 (US baby)
ocp_size;Pointure 30;Pointure 30;;Talla 30;12.5 (US baby)
ocp_size;Pointure 38;Pointure 38;;Talla 38;6 (US child)
ocp_size;Pointure 31;Pointure 31;;Talla 31;13 (US baby)
ocp_size;Pointure 32;Pointure 32;;Talla 32;1.5 (US child)
ocp_size;Pointure 33;Pointure 33;;Talla 33;2 (US child)
ocp_size;Pointure 34;Pointure 34;;Talla 34;3 (US child)
ocp_size;Pointure 35;Pointure 35;;Talla 35;3.5 (US child)
ocp_size;Pointure 36;Pointure 36;;Talla 36;4.5 (US child)
ocp_size;Pointure 37;Pointure 37;;Talla 37;5 (US child)
ocp_size;6 mois;6 mois;;6 meses;6 months
ocp_size;5 ans;5 ans;;5 años;5 years
ocp_size;6 ans;6 ans;;6 años;6 years
ocp_size;8 ans;8 ans;;8 años;8 years
ocp_size;9 mois;9 mois;;9 meses;9 months
ocp_size;Multicolore;Multicolore;;Multicolor;Multicolor
ocp_size;Orange;Orange;;Naranja;Orange
ocp_size;Gris;Gris;;Gris;Grey
ocp_size;Vert;Vert;;Verde;Green
ocp_size;Rose;Rose;;Rosa;Pink
ocp_size;Noir;Noir;;Negro;Black
ocp_size;Blanc;Blanc;;Blanco;White
ocp_size;Violet;Violet;;Violeta;Purple
ocp_size;Bleu, jean;Bleu, jean;;Azul, denim;Blue, denim
ocp_size;Rouge;Rouge;;Rojo;Red
ocp_size;Jaune;Jaune;;amarillo;Yellow
ocp_size;Beige;Beige;;Beige;Beige
ocp_size;Marron;Marron;;Marron;Brown
ocp_size;Autres;Autres;;Otros;Other
